Reference, Quantity, Value, Footprint, Datasheet, Mouser Number,Manufacturer, Reference,Alt1,Alt1- Manufacturer,Alt2
RST1 ,1,SolderJumper_2_Bridged,Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,~,~,~,~,,,
S1 ,1,450302014072,slider:slider,https://au.mouser.com/datasheet/2/445/450302014072-1626986.pdf,710-450302014072,Wurth Elektronik ,450302014072,,,
SW1 ,1,SW_Push,reset-button:PTS647,https://www.ckswitches.com/media/2567/pts647.pdf,611-PTS647SM38SMTR2L,C&K ,PTS647SM38SMTR2LFS,,,
U1 ,1,MCP73831-2-OT,adafruit-m0:SOT23-5,https://au.mouser.com/datasheet/2/268/20001984g-846362.pdf,579-MCP73831T-2ACIOT,Microchip Technology ,MCP73831T-2ACI/OT,,,
U2 ,1,SPX3819M5-L-3-3,Package_TO_SOT_SMD:SOT-23-5,https://au.mouser.com/datasheet/2/146/SPX3819-1079947.pdf,701-SPX3819M5-L-50TR,MaxLinear ,SPX3819M5-L-5-0/TR,,,
U3 ,1,click-wheel,click-wheel-2:connector,https://omronfs.omron.com/en_US/ecb/products/pdf/en-xf3m.pdf,653-XF3M-1215-1B,Omron Electronics,XF3M-1215-1B,,,
U4 ,1,ATSAMD21G18A-AUT,Package_QFP:TQFP-48_7x7mm_P0.5mm,http://ww1.microchip.com/downloads/en/DeviceDoc/SAMD21-Family-DataSheet-DS40001882D.pdf,556-ATSAMD21G18A-AUT ,AMTEL,ATSAMD21G18A-AUT,,,
U5 ,1,AT42QT2120_COMMS,little-helper:QT2120,https://au.mouser.com/datasheet/2/268/doc9634-1369146.pdf,556-AT42QT2120-SUR,AMTEL,AT42QT2120-SUR,,,
U6 ,1,VS1053B,adafruit -music:LQFP48,http://www.vlsi.fi/fileadmin/datasheets/vs8053.pdf,485-1681 ,Adafruit ,1681,COM-08892,Sparkfun,
U7 ,1,TLV733P-Q1,adafruit -music:SOT23-6,http://www.ti.com/lit/ds/symlink/tlv733p-q1.pdf?HQS=TI-null-null-mousermode-df-pf-null-wwe&DCM=yes&ref_url=https%3A%2F%2Fau.mouser.com%2F,595-TLV73318PQDBVRQ1,Texas Instruments ,TLV73318PQDBVRQ1 ,,,
U8 ,1,KWH018ST14-F01_4WSPI-TOP,sparkfun:FPC05040-17204,https://omronfs.omron.com/en_US/ecb/products/pdf/en-xf3m.pdf, 653-XF3M-4015-1B,Omron Electronics,XF3M-4015-1B,,,
X2 ,1,JSTPH,little-helper:JST-2-SMD,http://www.jst-mfg.com/product/pdf/eng/ePH.pdf,~,JST Sales America Inc.,S2B-PH-SM4-TB(LF)(SN) ,,,
Y1 ,1,ABM8G-12.288MHZ-18-D2Y-T,Crystal:Crystal_SMD_5032-4Pin_5.0x3.2mm,https://au.mouser.com/datasheet/2/3/abm3-47699.pdf,815-ABM312288B4YT,ABRACON,ABM3-12.288MHZ-B4Y-T,,,
Y2 ,1,Crystal,Crystal:Crystal_SMD_TXC_7A-2Pin_5x3.2mm,https://au.mouser.com/datasheet/2/3/ABS10-17136.pdf,815-ABS10-32.768K9T,ABRACON,ABS10-32.768KHZ-9-T,,,
